date,pre_sentiment,post_sentiment,pre_macro_sentiment,post_macro_sentiment,symbol
2019-02-04,,,0.8644651770591736,0.8669716715812683,GOOGL
2019-04-29,0.8421633243560791,0.43439149856567383,0.6501217484474182,0.5302916169166565,GOOGL
2019-07-25,,,,,GOOGL
2019-10-28,0.46746429800987244,0.5818734765052795,,0.8580609560012817,GOOGL
2020-02-03,,0.8580609560012817,0.36340469121932983,0.38862723112106323,GOOGL
2020-04-28,0.8653872609138489,0.8499398827552795,0.8580609560012817,0.7603287696838379,GOOGL
2020-07-30,,,,,GOOGL
2020-10-29,0.7490663528442383,0.2892994284629822,0.6363760232925415,0.8698127269744873,GOOGL
2021-02-02,,,-0.10591992735862732,0.7664267420768738,GOOGL
2021-04-27,0.7226220369338989,0.06502547860145569,0.5193042755126953,0.15592435002326965,GOOGL
2021-07-27,,,,,GOOGL
2021-10-26,0.6428803205490112,0.8580610156059265,0.8346092104911804,0.8580609560012817,GOOGL
2022-02-01,0.8020340800285339,0.4425232410430908,,0.8580609560012817,GOOGL
2022-04-26,0.720914363861084,0.8580609560012817,0.628136157989502,0.8611485958099365,GOOGL
2022-07-26,0.09120891988277435,-0.9003149271011353,-0.27069345116615295,0.43347930908203125,GOOGL
2022-10-25,0.26389676332473755,0.7502856254577637,0.8579912185668945,0.7769554257392883,GOOGL
2023-02-02,,0.8007725477218628,0.7095790505409241,0.6230394244194031,GOOGL
2023-04-25,,-0.4891747832298279,0.8580609560012817,0.8580609560012817,GOOGL
2023-07-25,,,0.7697155475616455,,GOOGL
2023-10-24,0.49304962158203125,0.7868525981903076,0.8643801212310791,0.8440055847167969,GOOGL
2024-01-30,0.8580609560012817,,,,GOOGL
2024-04-25,0.7387498021125793,0.7694917321205139,0.49113789200782776,0.48163852095603943,GOOGL
2024-07-23,,,0.44082674384117126,0.8580609560012817,GOOGL
2024-10-29,,-0.865783154964447,0.8693482875823975,0.8206985592842102,GOOGL
2019-01-29,,,0.6376701593399048,0.6103172898292542,AAPL
2019-04-30,0.387433797121048,0.5679986476898193,0.4179845154285431,0.3266181945800781,AAPL
2019-07-30,,,,,AAPL
2019-10-30,0.8580609560012817,0.8580610156059265,0.5831184983253479,0.8067566752433777,AAPL
2020-01-28,,0.8076159358024597,,,AAPL
2020-04-30,0.7766406536102295,0.8580609560012817,0.8580610156059265,0.8580609560012817,AAPL
2020-07-30,,,,,AAPL
2020-10-29,0.7151598334312439,0.28030604124069214,0.7492349147796631,0.8798900246620178,AAPL
2021-01-27,0.8580609560012817,0.21540702879428864,,,AAPL
2021-04-28,0.5830578804016113,0.4160445034503937,0.6476656198501587,0.6476656198501587,AAPL
2021-07-27,,,,,AAPL
2021-10-28,0.8580609560012817,0.8596252202987671,0.8580609560012817,0.8585289716720581,AAPL
2022-01-27,,,0.48119407892227173,0.8020340800285339,AAPL
2022-04-28,0.8580609560012817,0.8580609560012817,0.8673237562179565,,AAPL
2022-07-28,0.8580609560012817,0.4234710931777954,0.09120891988277435,0.5969594120979309,AAPL
2022-10-27,0.7120822072029114,0.845004677772522,0.7352283000946045,0.6123955845832825,AAPL
2023-02-02,0.7909730672836304,0.5742909908294678,0.5467910766601562,0.7240930795669556,AAPL
2023-05-04,,,-0.8026394844055176,,AAPL
2023-08-03,,0.6625573635101318,,,AAPL
2023-11-02,0.2555476427078247,0.7432862520217896,0.905057966709137,0.8580609560012817,AAPL
2024-02-01,0.8580609560012817,0.11817684769630432,0.8580609560012817,,AAPL
2024-05-02,0.8580609560012817,,0.6809225082397461,0.24905061721801758,AAPL
2024-08-01,0.8580609560012817,0.8460025787353516,,0.4089736342430115,AAPL
2024-10-31,,0.8580609560012817,-0.865783154964447,0.8445247411727905,AAPL
2019-02-14,,,0.3061290979385376,0.3566925823688507,NVDA
2019-05-16,,,,,NVDA
2019-08-15,,,,0.8780178427696228,NVDA
2019-11-14,,,0.7164704203605652,0.7181878089904785,NVDA
2020-02-13,,,0.6591718196868896,0.8580610156059265,NVDA
2020-05-21,,,,,NVDA
2020-08-19,,,,,NVDA
2020-11-18,,0.8580609560012817,0.8568970561027527,0.724391758441925,NVDA
2021-02-24,,,0.45541417598724365,0.8346399068832397,NVDA
2021-05-26,,,,,NVDA
2021-08-18,,,,,NVDA
2021-11-17,,,0.6834171414375305,0.8535138368606567,NVDA
2022-02-16,0.8580609560012817,,0.7126700282096863,0.8274047374725342,NVDA
2022-05-25,,,,,NVDA
2022-08-24,,,0.7747823596000671,0.8649756908416748,NVDA
2022-11-16,,,0.8519211411476135,0.3418264389038086,NVDA
2023-02-22,,,0.6884257197380066,0.5787385702133179,NVDA
2023-05-24,0.8580609560012817,-0.6763227581977844,0.08267928659915924,0.8580609560012817,NVDA
2023-08-23,0.4307433068752289,-0.8979187607765198,0.7961270213127136,,NVDA
2023-11-21,,-0.5340240001678467,0.7285310626029968,0.7869091033935547,NVDA
2024-02-21,0.8184859156608582,0.6982331871986389,0.771004855632782,0.35777097940444946,NVDA
2024-05-22,0.7819386124610901,0.2477921098470688,,0.05246956646442413,NVDA
2024-08-28,,0.7545048594474792,0.4451647996902466,0.8580609560012817,NVDA
2024-11-20,,0.08788925409317017,0.8463276028633118,0.8490030169487,NVDA
